y_true,y_pred,error_type,text_char_len,text_word_len,missing_text_fields,missing_cat_fields,title,company_profile,description,requirements,benefits,employment_type,required_experience,required_education,industry,function
1,0,FN,2283,311,0,0,Maintenance Specialist,"As the industry’s largest supply contracting company, Novation serves the purchasing needs of more than 65,000 VHA, UHC and Provista member organizations and their affilliates. Novation delivers unmatched supply savings and value through its sourcing services, as well as information and data services. Through its affiliation with VHA, UHC and Provista, Novation represents the largest purchasing volume in the industry more than $40 billion in annual purchases.To help our alliance members meet the needs of their communities, our mission is to deliver to them unmatched savings and value. One of the ways we deliver on our mission is by facilitating the introduction of products and services that are designed to help members drive sustainable results, improve quality and reduce costs.","ResponsibilitiesResponsibilities:Responsibilities:- Shipping and Receiving dock processing- Internal mail sorting and delivery- Special meeting set-up and tear down- Will be required to work in multiple facilities when needed- Plan and organize work for team of associates- Will perform other tasks as needed- Motivate associates to improve performance by developing and implementing innovative recognition ideas- Coach, train and develop associates- Manage service contracts and escalate concerns- Assist with writing and administering work reviews- Communicates progress of associates to supervisor and manager- Will perform other tasks as needed- Work with vendors on various initiatives and maintain an ongoing relationship when needed","Minimum Qualifications:- Effective computer skills (Word, Excel, and Outlook)- Proven ability to work with all levels of management- Effective communication skills (oral and written)- Ability to work independently- Experience with demonstrated leadership abilities and direct reports- Ability to balance multiple responsibilities simultaneously- Good team building skills- Basic analytical and mathematical skills- Strong decision making skills- Proven ability to manage and develop timelines","Compensation and BenefitsNOVATION  offers a competitive salary, a comprehensive selection of benefit options including 401(k).Conditions of EmploymentAll job offers are contingent upon succesful completion of credit and background checks.",Full-time,Entry level,High School or equivalent,Mechanical or Industrial Engineering,Engineering
1,0,FN,896,121,3,5,Admin Assistant\Urgently,,"The company is seeking an Admin assistant to join their team! As traineeship. Relevant on job training will be provided.  Position is Part- Time Start ASAP  Duties include:  Meet and greet clients  Preparing files  Receive phone calls  Receiving emails and reply emails from reception ( instructions will be given) The successful candidate will be able to demonstrate:-Excellent communication skills, Technical Contractual and Negotiating skills.-Knowledge of application software including Word, Excel and Outlook from the microsoft Office suite (2007).-Strong team based work ethic.-Thrives on challenges and is accountable.This job will be suitable for school leavers who are looking their career. If you are interested in applying for the position, please send resume with your full name and email to #EMAIL_bf7aada68f2ebd311c3cb873b1867e0c531121ccdc5392441c6cea7a5d852d06#",,,Unknown,Unknown,Unknown,Unknown,Unknown
0,1,FP,4485,598,1,5,Resident Services Coordinator (Part-Time),"MAC Property Management is dedicated to providing an exemplary living experience, the highest possible quality of service and a superior value for our residents.  It is important for us to preserve the environment, improve infrastructures, and enhance the beauty of our settings.  We are in the process of acquiring new properties in these existing markets as well as expanding to new markets across the country.  MAC Property Management, LLC is an Equal Opportunity Employer.","COMPANY DESCRIPTIONMAC Property Management leases and manages apartments.  MAC Property Management is dedicated to providing an exemplary living experience, the highest possible quality of service and a superior value for our residents.  We are committed to building better neighborhoods wherever we are, not only for our residents, but for the greater community. At MAC, it is important for us to preserve the environment, improve infrastructures, and enhance the beauty of our settings.  MAC Property Management currently serves apartment communities in the metropolitan areas of Chicago, Kansas City and St. Louis.  We are in the process of acquiring new properties in these existing markets as well as expanding to new markets across the country.  MAC Property Management, LLC is an Equal Housing Opportunity organization.JOB DESCRIPTIONThe Shoreland is a historic lakefront landmark hotel, newly restored to its original glamour as contemporary high-end rental residences.This is a Part-Time role with the following schedule:Wednesday: 2:30pm-11:00pmFriday: 2:30pm- 11:00pmSaturday: 2:30pm - 11:00pmOverall Responsibility:The Resident Service Coordinator is a key member of the property management team and will perform essential functions as they relate to the maintenance and accessibility of the building. Primary resident contact for all service related issues including; service work, maintenance projects, parcel receiving and building access. Essential Functions: Responsibilities for this position include, but are not limited to the following: Fulfill customer requestsPrevent solicitors from entering the buildingProcess marketing and resident account information in YardiKnow emergency key procedures (Key Track, key box locations, fireman elevator keys, lock-outs, etc.)Monitor CamerasWarmly greet residents and register guestsAnswer all incoming calls and handle accordingly using MAC telephone greeting standardsAccept and administer packages and distribute mail to resident’s boxesAssist residents with move-in and move-out procedures, including the  scheduling of elevator timeAssemble collateral packages for prospective residentsAssemble move-in packages for new residentsEnter service requests in Yardi and ensure they are assigned to the appropriate staff memberConduct follow-up calls for resident service requestsConduct courtesy calls to resident  (i.e. cabs, packages, deliveries)Be aware of MAC goals for resident satisfaction and resident retentionSchedule all pre-move out inspections assist residents with move-in process including walking of unit, lease paperwork, and follow-up resident contactConduct welcome and follow-up calls to all new move-ins to ensure resident satisfaction.Conduct pre-move out calls to confirm move-out dates and review MAC Property Management move-out procedures.Participate in ongoing resident relations including telephone calls and resident functions. Assist with resident concerns or related activities as requested by managementEnsure that the office, clubroom and models are in perfect condition. Clean, vacuum, and dust when needed. Physically inspect property when on grounds, pick up litter, and report any service needs to the maintenance staff.Allow access to residents when appropriate (buzzing them in)Announce all visitors / deliveries to residents when applicableAssist in answering leasing phone calls and respond with appropriate information when applicableAssist Property Manager or Assistant Properyt Manager in various tasks as requested","Bachelor’s Degree preferredMicrosoft Office Suite (Word, Excel, Outlook,etc) and internet navigationYardi Property Management experience preferredExceptional customer service and follow-through skillsOrganization skillsOutgoing personality – enjoys interaction with customersSelf-motivated and able  to work with limited supervisionAbility to set priorities, handle multiple tasks, and meet deadlinesStrong communication skills, both oral and written skills",,Unknown,Unknown,Unknown,Unknown,Unknown
1,0,FN,4795,631,0,0,Senior System Test Engineer,"NETGEAR and Aptitude Staffing Solutions have partnered up in an effort to streamline the hiring process and provide a more efficient and effective recruitng model.  Our focus is to help develop and achieve your career goals while makeing a solid geographical, cultural and professional fiit when leveraging your career into your new and exciting professional venture!  NETGEAR, Inc. (NASDAQGM: NTGR) designs innovative, branded technology solutions that address the specific networking, storage, and security needs of small- to medium-sized businesses and home users. The company offers an end-to-end networking product portfolio to enable users to share Internet access, peripherals, files, multimedia content, and applications among multiple computers and other Internet-enabled devices. Products are built on a variety of proven technologies such as wireless, Ethernet and powerline, with a focus on reliability and ease-of-use. NETGEAR products are sold in over 27,000 retail locations around the globe, and via more than 37,000 value-added resellers. The company's headquarters are in San Jose, Calif., with additional offices in 25 countries. Recruiting: #EMAIL_f4da338e899ddba983ac771b001681d1d2d93b3327ddc420a15f4e5a310071a9#  Media Inquiries: #EMAIL_1009f70bbfd3e2b05e1e73a998e14884ac7a09fe35b338b1f7f8767cf03effce# Investor Relations: #EMAIL_7ae15a228205094fb8cf58fbcb428394154f1c25f9629da4d54e091b86ce1037#","Senior System Test Engineer | San Jose, CAAs a member of the Service Provider Engineering team, you will be responsible for the design quality of DSL products with specific emphasis on IADs (VoIP).    Our DSL and Cable broadband products address Home Gateway, IPTV and Voice over IP (VoIP) services and are targeted at service providers.  These products will incorporate one or several of the following technologies:  DSL, PPPoX, DNS/DHCP, IP, SIP, IGMP, 802.11 Wireless, Ethernet, VPN, Firewalls, 3G / LTE.Job ResponsibilitiesMonitor and oversee the ODM quality processes and QA test, and verify test coverage.Work within the engineering development organization to verify the design quality of DSL products.Perform product testing to verify product performance and diagnose product defects.Perform verification and regression testing for bug fixes.  Log, track and drive to closure all bugs directly with overseas developers.Develop test plans from requirements and supervise QA testing both within our company and in overseas supplier’s labs.Set up and maintain in-house DSL, 3G / LTE, VoIP and IPTV Network test bedMonitor/Manage qualification of products with customers and understand customer requirements and test plans.Create additional test cases as required to cover customer’s requirements.Send regular Test Status Reports to product team with metrics to indicate overall test progress and product maturity.Provide input for manuals, help files, application notes and tech support web pagesSupport any 3rd level technical escalations from our technical support.Evaluate new products and reference designs.","Skills and RequirementsBS in Computer Science or Engineering. 5 years in QA or System Test in a lead role testing networking productsWell-versed in QA methodologies and Test Driven Development.Experience using test tools, such as Test Director, WinRunner, QAPartner, etc.Hands-on test capability, operate wired and mobile network test equipment, build test environments, troubleshoot networks and productsIn depth knowledge of VoIP (SIP, MGCP), for example can setup and configure Softswitch, perform voice quality testing etcStrong understanding of IP networking, TCP/IP, HTTP, FTP, DNS and other IP communication protocols. Knowledge of routers, Wireless (802.11x), VPN.Knowledge of DSL standards and industry is a plus.Hands-on experience with Rohde &amp; Schwarz CMU200 / CMW500 a plus.Ability to independently track and resolve issues.Teamwork.  This position requires a close working relationship with the extended team, including engineering, operations, sales, customer support, marketing and program managementMulti-tasker.  Experience working in a start-up environment.Good communication skills, both written and verbal.Fluency in Mandarin is a plus.","Broad responsibility, autonomy and visibility in an Engineering role.In-depth exposure to real-world customer issues across a global customer baseSmall-company feel in a growth environmentOpportunity for executive advancementVery competitive compensation packageBonus ProgramFull benefits packageAttractive retirement programReputable world-class leadershipSignificant stake in equity, stock optionsQualified candidates are encouraged to apply directly to this job posting.  Direct email and phone calls are not being considered.  Thank you for your cooperation.  Please no recruiters.  ",Full-time,Mid-Senior level,Bachelor's Degree,Computer Networking,Engineering
1,0,FN,2644,345,0,1,Data Entry Clerk,"DRS Technologies is a leading supplier of integrated products, services and support to military forces, intelligence agencies and prime contractors worldwide. Focused on defense technology, the Company develops, manufactures and supports a broad range of systems for mission critical and military sustainment requirements, as well as homeland security. The Company has been recognized as one of the fastest growing defense technology companies in the world and holds leading market positions in thermal imaging devices, combat display workstations, electronic sensor systems, power systems, rugged computer systems, air combat training systems, mission recorders, deployable flight incident recorders, environmental control systems, telecommunication systems, aircraft loaders, military trailers and shelters, and integrated logistics and support services. DRS strives to provide quality products and services and stand behind them, to invest in research and development and new market opportunities, and to leverage existing core defense programs and business areas.","DRS Technologies is committed to recruiting and retaining the best talent in the defense and aerospace industry and niche commercial technology areas. We offer an exciting and challenging work environment, a competitive salary and benefits package, and a business culture that rewards performance. DRS Technologies is seeking for administrative and executive assistants to receptionists, data entry clerks, and customer service representatives.In the Data Entry Clerk role, you must be able to multitask and pay exceptional attention to details. We are seeking a dedicated individual with excellent customer service and communication skills. You must be able to work independently, learn quickly, and exercise sound judgment. RESPONSIBILITIESPerforms a wide variety of activities, which may include one or more of the following:-Processing invoices and data entry-Matches and distributes A/P checks-General Ledger Entries -Bank reconciliation -Handling Transactions-Maintain reports in Excel-Inputting information from a variety of sources-Clerical duties-Data entry skills + 10 key helpful","Minimum of High School DiplomaSelf-starterResponsible &amp; dependable with good prioritization skillsProficient in Microsoft Word, Excel and OutlookProficient with QuickBooks and/or other Accounting softwareUnderstanding of customer service protocolsStrong phone presenceGeneral Math SkillsThoroughness and attention to detail","Benefits include:Medical, Rx, and Wellness Benefits.Dental and Vision Plan Options.Short-term Disability.401(k) Retirement Plan.Holiday Pay.",Full-time,Entry level,High School or equivalent,Unknown,Data Analyst
1,0,FN,5940,645,1,0, Sr. Process Engineer,"Maynard Consulting Company has more than 20 years experience in the biotechnology, pharmaceutical, medical device, chemical, and validation engineering fields. In addition, we have over 10 years in project management, software engineering, telecommunication, testing, and networking engineering.  MCC partners with skilled candidates to meet and exceed their career expectations.","The Production Department is responsible for the production of sterile injectable mixtures, inhaled products (MDI, pMDI, DPI, and nasal), and other formulations compatible/accessible with the production equipment available at the Client’s Morrisville site.  This includes maintenance, setup, operation, changeover, and routine maintenance of automated and manual production equipment.  The Production Department executes, completes, and reviews all associated master batch record documentation; creates and reviews standard operating procedures; creates manufacturing metrics documentation and assists with process development and validation studies.The position is a manufacturing core team leader supporting the commercial manufacturing process and equipment expansion, as well as ongoing operations.   This position will be responsible for all technical and operational elements of the new commercial inhalation manufacturing process including:   process engineering and troubleshooting, process and product improvement, equipment selection and usage, capacity utilization improvement, lean process design, ensuring delivery to customer specifications and timelines, and customer, supplier and communications.   This technical leadership role will work to deliver customer satisfaction and, with the cross functional core team, will deliver the product on time, with high quality, and at the correct cost.  This position works closely with all site organizations and with the customer. ","III.  Specific Duties, Activities, and Responsibilities    1.Utilize Six Sigma and Lean to integrate new products into the #URL_00b313472b1dbc555b53b09bbbb9a17586c439aa6221bea0083a8051328c70af# activities and project deliverables across operations and #URL_3d5ffea8b80e04b18d46576a7e1a73492b4049108815e69e1353f2d993f6fc24#.Develop and drive production processes to meet customer #URL_860ff9c461988685b2bca88d05f5654d55a5e8f6142abf7674b00c2c51921a39#.Assemble, facilitate and participate in cross functional #URL_292226f934a2786220c9e0f172399f5fe5bd5dfe9516390206ce5f41ae843dc4#.Process troubleshooting and #URL_e27faff18b1e9d11b5f67ad1a2447b962faf17fc57f07a6bd3e0ea09caba9cfe# critical dependencies and risks; develop risk mitigation #URL_847764da9202d8b7368a1ef77ea0a031ea7bb340ba7f55030b59066b32c0e289# EH&amp;S in all design and process #URL_d00b7d42e37df402c74e8d7ae7997a6a9880754448ffaf318d1fd23e8c18ad67# and implement project performance tracking and reporting tools9. Define critical process parameters, operational ranges and acceptance for quality assurance and process validation #URL_486d0cb62c512e5b1b0584a51c7e36e8e3086453060d0d58f37b0c5e6689bf41# and coordinate activities of manufacturing personnel to ensure projects progress is on schedule and within #URL_bdf1faf8665248938b3a3660ed089b74f59e5abc51ea37a9b805a60dc14c3422# group is compliant w/ all regulatory #URL_ee60403e74001e9c2472732c4fbbfbefe7de83034a834617f088162362c53d62# and resolve technical and/or program #URL_e3bf066ab57c5935885cb5659a1bea28b40dc28e37e1ebe9f7f2f7aba6cefcc4# effectiveness of the Quality System, be prepared for internal, external and customer audits at all #URL_3693cb2067e627a35f7d64f3e1c7249e06c9577a47f913362953817b6520d541# performance and development of team #URL_9fb541e573af32ad59748bd9499933e59fcd4451860afb458a67baa0715590ad# other duties as assigned.    Education and Experience:   Bachelor of Science in Science/Operations Management/Engineering or relevant discipline required with 10 years experience in pharmaceutical operations.Leadership experience with production employees.Experience with inhalation (MDI/DPI) manufacturing a plus.Program management expertiseKnowledge of change control and process validation is required.Experience with inhalation manufacturing technology, processes and packaging.Experience working in a cGMP controlled environment.Excellent communication and documentation skills.Six Sigma / Lean Manufacturing / Professional Project Management skills a plus.Ability to assess risks (program, technical, sterility) and take appropriate corrective actions.  Technical customer interaction Knowledge, Skills and Abilities:   Ability to handle multiple tasks and work in a highly matrixed environmentStrong problem solving and analytical skills in a process / manufacturing-based environmentUnderstanding of statistical process control and improvement methodologies.High level of attention to detail and excellent documentation skills.Ability to work on a cross functional team to achieve a common objective.Strong communication skills; both written and oral.Motivational skills, ability to lead past obstacles and creatively solve problems.A full complement of business computer literacy skills (e.g., word processing, spreadsheets, database software etc.) is preferred.Must possess appropriate broad communication skills allowing direct interaction with production employees, outside suppliers, internal stakeholders, and customers.Should be familiar with cGMP or be able to quickly learn and apply cGMP principals and must be able to design safe work practices.Demonstrate a willingness to share skills and information with others.Blend knowledge and analysis with logic, active listening, and a continuing interest in simplification.  Act ethically.Demonstrate a bias toward action.  Get things done.  Be willing to take a position, and assert influence to drive improvement.  Foster teamwork to get results.Demonstrated ability to read, write, and speak clear English.#URL_7e94b9dc45c2319c1dffe1d1646563b8cf079c66d210b9bb860f4f51783ffb03# ",,Contract,Mid-Senior level,Bachelor's Degree,Biotechnology,Engineering
1,0,FN,2269,322,1,0,Quant Analyst ,,"Our client is an award winning High-Frequency Prop. Trading firm specializing in trading Fixed Income, Equity, and oil options looking for an experience Quant.  They're based in the city, and they're looking for a  Quant Analyst with a very strong academic background and 2-5 years of experience to join their team. The position reports to the Head of Financial Engineering and you would be working with other Quants in the team.","The Quant Analyst would be responsible for: Statistical analysis of historic &amp; realtime data Define &amp; identify data of value to our client's businesses. Add statistical understanding to the data-mining process, drawing out trends &amp; strategies for arbitrage, prop &amp; sales trading. Working closely with software development to bring data and data-analysis to the front-office risk &amp; trading system. Gain a strong understanding of derivatives theory and its application within the context of our client's business models. Understand the implementations of specific maths functions eg. Vol and pricing modes, Greeks, Risk Analyses.  Contribute to the Financial Engineering Support role and eventually provide the primary support resourceQuantitative Skills Develop programming expertise using C++ within a Unix/Linux environmentContribute to the development of new mathematical implementations to further enhance our competitive edge in the market placeSkills Set and ExperienceExperience working on the statistical analysis of large datasets Numerical degree - eg. Maths, Engineering, Physics, numerical Science or related Basic codingStrong personality fit within the company culture.Ability and desire to work directlyExperience working as a Quant in a financial trading companyExperience working with with Traders and Software Developers. Desire to work directly on the support and development of mathematical implementations within the context of our client's trading businesses.  Experience using statistical analysis in a financial market environment. Coding in single threaded or multi-threaded environments - eg. VB/VBA, Java, C#, C++Ideal candidates will have experience coding in C++ Unix/Linux experience.","Excellent bonus potential, up to double the basic depending on personal and company performance",Full-time,Associate,Doctorate,Banking,Engineering
1,0,FN,2137,265,2,5,Subsea Pipeline Engineer,," Ability to make decisions and recommendations that are recognized as authoritative and have an important impact on extensive engineering activities.Ability to initiate and maintains extensive contacts with key engineers and officials of other organizations and companies, requiring skill in persuasion and negotiation of critical issues.Demonstrable creativity, foresight, and mature engineering judgment in anticipating and solving unprecedented engineering problems, determining program objectives and requirements, organizing programs and projects, and developing standards and guides for diverse engineering activities.Periodically serves as mentor or coach to younger staff enabling them to achieve their professional goals.Occasionally involved in recruitment to meet resource requirements.Interfaces closely with Clients and works to develop INTECSEA.Plays a central role in bid preparation and resource estimating.Anticipates and resolves staffing requirements and schedule constraints.Establishes deadlines, milestones, and man-hour estimates.Works closely with Client staff to ensure alignment of approach and objectives.","Desired Skills &amp; Experience:Ability to lead at all levels within the organization.Proven track record of exceeding performance metrics.Job RequirementsTechnical Requirements:Subsea pipeline background that involves piping stress analysis using a program like OffPipe.Ability to travel offshore during construction phase, 10% of the time maybe lessMust be able to demonstrate full project management capabilities, survey, permitting in the GOM, design, procurement, contracts, field construction, cost.Plan, schedule and conduct Engineering during; Conceptual, Pre-FEED, FEED, Detailed Design and Installation phases.Provide technical expertise to your team and our clients.Education &amp; Experience:Bachelors of Science in Mechanical Engineering or related field + 10 years relevant experience.20 years relevant experience in lieu of degree.QHSE Requirements:Learns &amp; actively promotes the INTECSEA EMS and HSE in accordance with the HSE Guideline for INTECSEA Personnel.",,Unknown,Unknown,Unknown,Unknown,Unknown
1,0,FN,4040,525,0,0,Market Operations Manager ,"The Accion  story began more than 100 years ago in the Austin,Tx with one family owned establishment. Today, Accion  has grown into a nationwide Organazation with over 260 stores. Accion success is attributed to our unique niche in the market offering current   finance option at competitive prices paired with customer service and a personal shopping experience. Join the Accion story today!","ExemptSHIFT WORKEDMonday-Sundays, Days, NightsSALARY$65,000 starting salary; ramping up as stores open in market.  Bi-annual performance bonus opportunity.  POSITION OVERVIEWManages the overall operation of their home store and exercises discretion while doing so.  Ensures company standards are met and ensures store Associates comply with policies and procedures.  Develops and ensures compliance with Corporate Store policies and procedures.  Upholds and executes the vision and mission of Yogurtland.  Assists the ROM by overseeing and helping Store Managers resolve operational issues for two or more stores in their area.  CULTURAL QUALIFICATIONSHumble – We are modest, respectful, open and never arrogant, despite our successes.  We grow by giving and accepting honest feedback, even when it is personally challenging.Teamwork – We work collaboratively by capitalizing on the strengths of every member of our team and collectively own both our successes and our shortcomings.Passionate – We love what we do, reach for the best, and strive to positively impact the lives of our guests, colleagues, franchisees, and vendors.Innovative – With an open mind and fresh ideas with are continuously evolving and creating new possibilities in our products, the way we do business, and our interactions with others.THTK: Totally Honest – Totally Kind - We work and live with great integrity, accountability, and compassion.  KEY METRICSSuccessful opening of new stores.Same Store Sales Increase.Food Cost.Labor Cost.Net Profit.  ESSENTIAL JOB FUNCTIONSCash Handling (bank deposits, safe deposits, etc.) is accountable for all funds.Scheduling of Associates effectively and efficiently.Controls store operational cost (food, labor, etc.).Maintain adequate inventory levels.Ensures all Associates adhere to all company standards, policies and procedures.Coordinates and communicates assignments throughout shift.Coordinates training, coaching and development of newly hired Associates.Ensures all Associates adhere to meal and break periods.Taste product to ensure quality standards are met.Is the “role-model” for outstanding customer service and Associate standards.Ensures cleanliness, health, security and safety standards are maintained at all times.Maintains building, machines and store operating equipment and schedules preventive maintenance.Conducts Associate meetings as needed.Maintains and creates reports and records based company standards and in compliance of local, state and federal regulations.Maintains a cooperative and interactive relationship with the YLSC.Provides counseling, coaching, discipline and mentoring to Associates as warranted.Other job-related activities as requested.Assists/teaches assigned Store Managers with the above. CORE COMPETENCIESAbility to exercise mature judgment and reasoning.Ability to problem solve quickly and effectively.Effective customer service skills delivered with a friendly disposition.Ability to communicate clearly and concisely.Ability to actively listen and address Associates’ concerns, comments and/or issues.Ability to lead others in always upholding company standards.Knowledge of staffing, scheduling and inventory processes.Internally motivated and ability to motivate others.Ability to act independently and effectively.Knowledge of organizational and planning skills.Knowledge of team-building, leadership, coaching and mentoring skills.                                                              ",OTHER REQUIREMENTS (LICENSES/CERTIFICATIONS)Previous management experience.4-year college degree or 8 years hospitality experience.Proficient with MS Office Word and Excel programs. afe or equivalent certification.,ALL BENEFITS,Full-time,Mid-Senior level,Some College Coursework Completed,Management Consulting,Finance
1,0,FN,189,20,3,2,CSR,,Now hiring CSR / Advertising representatives to work from homeMust Have:Customer Service RepresentativeComputerInternetPhoneFor more information call (985) 250-0381Interview Immediately ,,,Part-time,Entry level,Unknown,Online Media,Unknown
